ref,date,Orders,Value,bud_ord,bud_val,py_ord,py_val
1,2023-06-01,0,0,423,11000,1657,43435.89
2,2023-06-02,0,0,423,11000,0,0
3,2023-06-03,0,0,0,0,0,0
4,2023-06-04,0,0,0,0,0,0
5,2023-06-05,0,0,1000,26000,2055,52719.18
6,2023-06-06,0,0,577,15000,1888,53713.43
7,2023-06-07,0,0,423,11000,958,25417.49
8,2023-06-08,0,0,462,12000,441,13120.71
9,2023-06-09,0,0,385,10000,361,9417.8
10,2023-06-10,0,0,0,0,0,0
11,2023-06-11,0,0,0,0,0,0
12,2023-06-12,0,0,1000,26000,890,21766.67
13,2023-06-13,0,0,577,15000,429,12309.5
14,2023-06-14,0,0,423,11000,410,10229.05
15,2023-06-15,0,0,462,12000,396,13104.14
16,2023-06-16,0,0,385,10000,293,8519.65
17,2023-06-17,0,0,0,0,0,0
18,2023-06-18,0,0,0,0,0,0
19,2023-06-19,0,0,1000,26000,819,20928.93
20,2023-06-20,0,0,1923,50000,429,11009.23
21,2023-06-21,0,0,1154,30000,429,13716.29
22,2023-06-22,0,0,769,20000,431,10466.79
23,2023-06-23,0,0,692,18000,404,11419.72
24,2023-06-24,0,0,0,0,0,0
25,2023-06-25,0,0,0,0,0,0
26,2023-06-26,0,0,1923,50000,870,22454.9
27,2023-06-27,0,0,962,25000,459,13548.46
28,2023-06-28,0,0,654,17000,448,13321.55
29,2023-06-29,0,0,462,12000,585,19316.22
30,2023-06-30,0,0,385,10000,0,0
